21-21704-57.wav	คนก็ไปเที่ยวกันเยอะนักท่องเที่ยวก็ยังคงไปท่องเที่ยวได้ตามปกตินะครับ
7-7291-1.wav	ตำรวจภูธรบ้านโป่งจังหวัดราชบุรีครับสนธิกำลังกันกับตำรวจทหารและฝ่ายปกครอง
7-7291-2.wav	ร่วมกันจับกุมหญิงสาวอายุเพียง16ปีครับซึ่งเป็นชาวจังหวัดกาญจนบุรี
21-21705-8.wav	ป่าอ้อดอนชัยอำเภอเมืองจังหวัดเชียงราย
7-7292-21.wav	เป็นนายกอบต.สระแก้วชี้แจงบอกว่า
21-21707-299.wav	โบราณคดีคณะกรรมการจังหวัดจะทำการขุดค้นซากปรักหักพัง
21-21708-24.wav	ซึ่งจะเดินทางมาร่วมรับฟังคำวินิจฉัย
21-21708-27.wav	โดยจะเดินทางมาถึงที่พักในเวลา13นาฬิกา
21-21708-29.wav	ก็มีมวลชนบางส่วนทยอยเดินทางมา
7-7292-3.wav	อบต.สระแก้วแต่อยู่ที่จังหวัดเพชรบูรณ์
21-21709-122.wav	พาไปไม่ถึงไม่ไปเจอนายวินัยที่เป็นผู้ใหญ่เลยนะ
21-21709-168.wav	บอกว่าอยากจะส่งน้องฟ้าใสไปเรียนที่จังหวัดสุราษฎร์ธานี
21-21709-33.wav	นางสาวบีมแล้วก็นางสาวรุ้งก็ออกมาเปิดใจครั้งแรกเลย
7-7292-7.wav	จังหวัดเพชรบูรณ์จัดซื้อถุงห่วงใย200ชุด
21-21711-23.wav	ก็ส่งชุดค้นหาไป22นายมีเครื่องมือกู้ภัยก็เข้ากันไปในถ้ำ
21-21712-182.wav	นี่นายอานนท์เขาประกาศไว้แบบนี้
7-7293-42.wav	ไปค้นบ้านพักนายวิวที่จังหวัดนนทบุรี
21-21713-24.wav	ตรงกับกำหนดการที่เสกโลโซจะต้องเดินทางไปรายงานตัวต่อสารจังหวัดนครศรีธรรมราชด้วยเช่นเดียวกัน
7-7293-43.wav	แล้วก็บ้านในเลาะที่จังหวัดปัตตานี
21-21714-16.wav	อีกทั้งฝ่ายนายประเสริฐผู้ตายเคยนำมีดยาวมาขูดถึงหน้าบ้าน
21-21714-3.wav	หลังสิ้นเสียงปืนรัว9นัดสังหารผู้ช่วยผู้ใหญ่บ้านหมู่3ตำบลบางขุนกองอำเภอบางกรวยจังหวัดนนทบุรี
